RNA_feature;ADT_feature;nb_cells;cor;pval;significant_cor;nb_cells_0filter;cor_0filter;pval_0filter;significant_cor_0filter;nb_cells_qmin_qmax;cor_qmin_qmax;pval_qmin_qmax;significant_cor_qmin_qmax
CD3G;CD3;8812;0.675;0;0.675;3974;0.00792;0.618;NA;8812;0.479;0;0.479
CD19;CD19;8812;0.394;0;0.394;536;0.0727;0.0927;NA;8812;0.328;2.28e-143;0.328
PTPRC;CD45RA;8812;0.179;4.81e-64;0.179;8494;0.181;2.9e-63;0.181;8812;0.217;6.89e-62;0.217
CD4;CD4;8812;0.394;0;0.394;3182;-0.0576;0.00116;-0.0576;8812;0.0255;0.0537;NA
CD8A;CD8a;8812;0.598;0;0.598;1355;0.291;8.28e-28;0.291;8812;0.594;0;0.594
CD14;CD14;8812;0.714;0;0.714;2416;0.18;5e-19;0.18;8812;0.737;0;0.737
FCGR3A;CD16;8812;0.38;1.76e-301;0.38;560;0.63;2.74e-63;0.63;8812;0.139;4e-26;0.139
NCAM1;CD56;8812;0.174;8.39e-61;0.174;165;0.297;0.000109;0.297;8812;0.0531;5.8e-05;0.0531
IL2RA;CD25;8812;0.101;2.44e-21;0.101;179;0.0937;0.212;NA;8812;0.0572;1.5e-05;0.0572
PTPRC;CD45RO;8812;-0.259;7.94e-135;-0.259;8493;-0.254;8.43e-125;-0.254;8812;-0.23;7.19e-70;-0.23
PDCD1;PD-1;8812;0.108;2.43e-24;0.108;66;0.512;1.13e-05;0.512;8812;0.0866;5.32e-11;0.0866
TIGIT;TIGIT;8812;0.166;1.37e-55;0.166;402;0.161;0.00122;0.161;8812;0.13;6.21e-23;0.13
IGHG1;IgG1;8812;-0.0604;1.36e-08;-0.0604;64;-0.0701;0.582;NA;8812;-0.0615;3.23e-06;-0.0615
IGHG2;IgG2a;8812;-0.00157;0.883;NA;85;0.0727;0.508;NA;8812;-0.0178;0.177;NA
IGHG2;IgG2b;8812;-0.0272;0.0107;-0.0272;85;0.00205;0.985;NA;8812;-0.0328;0.013;-0.0328
IL7R;CD127;8812;0.707;0;0.707;4766;0.532;0;0.532;8812;0.551;0;0.551
FUT4;CD15;8812;0.0654;8.16e-10;0.0654;318;0.245;9.58e-06;0.245;8812;0.0788;2.37e-09;0.0788
CCR7;CCR7;8812;-0.211;6.46e-89;-0.211;4105;-0.0728;3.05e-06;-0.0728;8812;-0.2;9.88e-53;-0.2
HLA-DRA;HLA-DR;8812;0.802;0;0.802;3547;0.586;0;0.586;8812;0.778;0;0.778
